"","X1","G_means","gen_factor","exp_env_factor","E_means","data.type","row"
"329","1",0.218017487827352,"G_1","E_1",-0.985732165229548,"raw",1032
"330","2",-0.113764354057103,"G_2","E_2",1.0899852989998,"raw",1032
"331","G_1",0.218017487827353,"G_1","E_1",-0.985732165229548,"means",1032
"332","G_2",-0.113764354057103,"G_2","E_2",1.0899852989998,"means",1032
"333","11",0.383238957314348,"G_1","E_1",-0.628475939246273,"raw.ne",1032
"334","21",-0.383238957314348,"G_2","E_2",0.628475939246273,"raw.ne",1032
"335","G_11",0.383238957314348,"G_1","E_1",-0.628475939246273,"mean.ne",1032
"336","G_21",-0.383238957314348,"G_2","E_2",0.628475939246273,"mean.ne",1032
"337","1",0.383071961481819,"G_1","E_1",-0.929830928072594,"raw",1033
"338","2",-0.407896051203234,"G_2","E_2",0.90500683835118,"raw",1033
"339","G_1",0.38307196148182,"G_1","E_1",-0.929830928072594,"means",1033
"340","G_2",-0.407896051203234,"G_2","E_2",0.905006838351179,"means",1033
"341","11",0.472594069879288,"G_1","E_1",-0.678558520249901,"raw.ne",1033
"342","21",-0.472594069879288,"G_2","E_2",0.678558520249901,"raw.ne",1033
