"","X1","row","Variance_Component","SS","abs.SS.","omega2","Pvalue"
"398",3,1073,"V_gxe",46.6218,46.6218,0.398,0
"399",4,1073,"V_cov",9.0756,9.0756,0.0775,0
"400",5,1073,"V_error",40.1303,40.1303,0.3426,NA
"401",1,1074,"V_g",26.8688,26.8688,0.1605,0
"402",2,1074,"V_e",34.2802,34.2802,0.2048,0
"403",3,1074,"V_gxe",17.7116,17.7116,0.1058,0
"404",4,1074,"V_cov",29.8662,29.8662,0.1784,0
"405",5,1074,"V_error",58.6412,58.6412,0.3504,NA
"406",1,1075,"V_g",7.6242,7.6242,0.066,0
"407",2,1075,"V_e",25.6174,25.6174,0.2219,0
"408",3,1075,"V_gxe",39.4149,39.4149,0.3414,0
"409",4,1075,"V_cov",5.3822,5.3822,0.0466,0
"410",5,1075,"V_error",37.412,37.412,0.3241,NA
"411",1,1076,"V_g",20.7335,20.7335,0.1333,0
"412",2,1076,"V_e",28.8409,28.8409,0.1854,0
"413",3,1076,"V_gxe",46.7305,46.7305,0.3004,0
"414",4,1076,"V_cov",18.4336,18.4336,0.1185,0
"415",5,1076,"V_error",40.8296,40.8296,0.2625,NA
"416",1,1077,"V_g",10.5433,10.5433,0.0903,0
"417",2,1077,"V_e",17.5924,17.5924,0.1507,0
"418",3,1077,"V_gxe",26.8201,26.8201,0.2297,0
"419",4,1077,"V_cov",-12.7275,12.7275,0.109,0
"420",5,1077,"V_error",49.0742,49.0742,0.4203,NA
"421",1,1078,"V_g",15.8225,15.8225,0.126,0
"422",2,1078,"V_e",22.3833,22.3833,0.1783,0
"423",3,1078,"V_gxe",31.0691,31.0691,0.2475,0
"424",4,1078,"V_cov",-14.2827,14.2827,0.1138,0
"425",5,1078,"V_error",41.9803,41.9803,0.3344,NA
"426",1,1079,"V_g",8.5678,8.5678,0.0731,0
"427",2,1079,"V_e",2.5346,2.5346,0.0216,0
"428",3,1079,"V_gxe",54.7169,54.7169,0.467,0
"429",4,1079,"V_cov",2.7614,2.7614,0.0236,0
"430",5,1079,"V_error",48.5949,48.5949,0.4147,NA
"431",1,107,"V_g",84.2961,84.2961,0.5647,0
