"samplesize","GE_Diff","covGE_true","covGE_data","lwrCI","uprCI"
6,4,8,7.22945148646644,2.99045054993933,12.3321617706875
6,4.25,9.03125,10.0199464857661,3.93994766871764,17.5278743003773
6,4.5,10.125,8.82005254951417,3.62326764375803,15.0853791433025
6,4.75,11.28125,10.3712161873657,4.56097728962776,17.8238780644602
6,5,12.5,13.2038631525179,6.07825560316423,21.6790730501574
6,5.25,13.78125,13.7810879286239,5.45513801571487,22.9433648480019
6,5.5,15.125,15.9082148040141,7.05396315279226,26.2562844635854
6,5.75,16.53125,18.3064542244341,8.50375319509357,30.1348212092457
6,6,18,19.2038591754707,8.60195758691168,32.2045521776306
6,6.25,19.53125,22.2414310393387,10.599165777641,37.244689292256
6,6.5,21.125,22.6828326263658,10.8651548636232,38.1275872812279
6,6.75,22.78125,20.3548773433279,9.28880096096312,32.59647106242
6,7,24.5,24.3349764377265,10.9370707276232,39.4129509016204
6,7.25,26.28125,24.7484543262442,11.3245744181891,40.2355404743877
6,7.5,28.125,28.095057454262,13.3599185089435,45.9692789802986
6,7.75,30.03125,26.4206891288533,12.1235373844639,43.1399495398073
6,8,32,31.1253241575306,14.3432183013178,51.1992937644781
6,8.25,34.03125,34.2366326957118,16.9130272601543,56.3141357692656
6,8.5,36.125,36.0362987340427,17.0193326179781,59.6262404528809
6,8.75,38.28125,37.7782613220543,17.0766150740768,61.0763852743807
6,9,40.5,37.0881151971177,17.3634393829366,60.699844584677
6,9.25,42.78125,41.3359229268923,20.1794017344828,69.2406495358847
6,9.5,45.125,38.8269191794491,18.8772354204548,62.7262621135466
6,9.75,47.53125,48.0602384297124,21.6609362690407,81.3268316314823
6,10,50,44.865357811244,20.1749399746093,73.1078672495553
7,1,0.5,0.351080967047294,-0.0348358709538738,0.85192588244457
7,1.25,0.78125,0.80869677473403,0.0850922171101405,1.79959882989154
7,1.5,1.125,0.50625385731873,-0.227849442032819,1.30224421164181
7,1.75,1.53125,0.98337427559016,0.190214842808505,1.94076060443103
7,2,2,2.32588772288269,1.02438622951785,4.06389664247738
7,2.25,2.53125,1.92347007356416,0.558433417269968,3.81683652322603
7,2.5,3.125,2.81152157827494,1.12053981235098,5.08529359794213
7,2.75,3.78125,3.75373488643756,1.6312429800197,6.43477633313222
7,3,4.5,3.4639833914621,1.43119873575417,5.8197833948757
7,3.25,5.28125,5.24370952794258,2.41800553092367,8.91258525331168
7,3.5,6.125,5.71893125354566,2.67642716779131,9.45224722362591
7,3.75,7.03125,6.49157457296929,3.14213101642753,10.4658014747425
7,4,8,8.31914385178948,3.75087178140164,13.3228564738738
7,4.25,9.03125,8.15924747574979,3.69142521329355,12.9576785340726
7,4.5,10.125,8.8948334388911,4.20727145353357,15.1046690551372
7,4.75,11.28125,11.5145644393572,5.63171878391146,19.3709654199742
7,5,12.5,12.2338184137207,6.39309272129077,20.810534059367
7,5.25,13.78125,12.6568268737433,6.23276362930037,21.1562697675019
7,5.5,15.125,16.3307294715282,8.04974549651201,26.3692337814305
7,5.75,16.53125,16.0095631709567,7.64772121414978,25.2567618794677
7,6,18,18.3027808150915,9.43824395509085,29.0269408860987
7,6.25,19.53125,16.9504593474849,8.69157998635108,27.6510920370945
7,6.5,21.125,23.1389340153723,11.3006058027795,36.948172962194
7,6.75,22.78125,22.5088789714369,11.538543864177,36.3319079693417
