"","X.1","X","X1","row","replicate","env_scenario","delta_env","delta_gen","sample_size","total_samples","n_env","n_pop","std_dev","interaction","Sim_time","pop_cov","true_cov","cov_R","covariance","covariance_lwrCI","covariance_uprCI","covariance_pvalue","true_cov_means","cov_means_R","cov_means","cov_means_lwrCI","cov_means_uprCI","cov_means_pvalue","true_cor","cor","cor_lwrCI","cor_uprCI","cor_pvalue","GxE_Anova","true_GxE_emm","GxE_emm","GxE_emm_lwrCI","GxE_emm_uprCI","GxE_emm_pvalue","true_GxE_omega","GxE_omega","GxE_omega_lwrCI","GxE_omega_uprCI","GxE_omega_pvalue","true_GxE_means","GxE_means","GxE_means_lwrCI","GxE_means_uprCI","GxE_means_pvalue","sig","meancoverror","coverror","meangxeerror","gxeerror"
"59",235,235,1,10259,6,1,0.0527781881392002,0.291459478903562,8,128,4,4,1,1.18098836418008,4.36198885838191,0.657,0.876,0.604,0.604,0.661283333333333,8.499,0.115,0.876,0.604,0.604,0.222316666666667,0.894366666666667,0.119,0.903,0.887,0.222,0.99,0.119,0,0.737,0.685,0.588,0.849,0,0.887,0.398,0.347,0.53,0,0.737,0.685,0.605,0.81,0,TRUE,0.67205,7.83771666666667,0.205,0.261
"60",242,242,1,10265,6,1,0.314731791848317,0.596093338448554,8,128,4,4,1,3.45748203108087,4.56370288133621,-0.023,-0.031,0.066,0.066,-2.29908333333333,2.82029999999999,0.895,-0.031,0.066,0.066,-0.409366666666667,0.49905,0.86,-0.039,0.075,-0.55,0.665,0.934,0,0.695,0.578,0.484,0.785,0,0.641,0.223,0.156,0.393,0,0.695,0.578,0.483,0.752,0,TRUE,0.908416666666667,5.11938333333332,0.269,0.301
"61",246,246,1,10269,6,1,0.604150294559076,-0.14565992122516,8,128,4,4,1,3.05876707378775,4.47817463874817,0.439,0.586,0.574,0.574,-1.43361666666667,11.4730333333333,0.143,0.586,0.574,0.574,-0.0613666666666667,0.888683333333333,0.137,0.954,0.878,-0.261,0.989,0.12,0,0.743,0.89,0.772,1.056,0,0.793,0.458,0.399,0.6,0,0.743,0.89,0.785,1.04,0,TRUE,0.95005,12.90665,0.255,0.284
"62",247,247,1,1026,1,1,0.480751105351374,0.429316354449838,4,16,2,2,1,0.19923450332135,2.64977834622065,0.202,0.404,0.04,0.04,-1.04736666666667,4.28199999999998,0.953,0.404,0.04,0.04,-0.743,0.7861,0.999,1,1,-1,1,0.933,0.083,0.163,0.37,0.047,0.692,0.461,0.035,0.102,-0.034,0.448,0.118,0.163,0.37,0.047,0.709,0.397,FALSE,1.5291,5.32936666666665,0.662,0.645
"63",249,249,1,10271,6,1,0.278319287346676,-0.590208912268281,8,128,4,4,1,2.18578132148832,4.76722401777903,0.308,0.41,-0.072,-0.072,-4.96775,2.2624,0.868,0.41,-0.072,-0.072,-0.596783333333333,0.3341,0.866,0.497,-0.113,-0.75,0.554,0.886,0,0.689,0.775,0.658,0.927,0,0.744,0.405,0.344,0.545,0,0.689,0.775,0.665,0.901,0,TRUE,0.930883333333333,7.23015,0.236,0.269
"64",250,250,1,10272,6,1,0.983639017678797,-0.259057990275323,8,128,4,4,1,3.47686292789876,4.42712338765462,-0.493,-0.657,-0.474,-0.474,-5.46875,0.135249999999999,0.251,-0.657,-0.474,-0.474,-0.80105,-0.0496333333333334,0.23,-0.904,-0.66,-0.968,0.064,0.354,0,0.665,0.654,0.538,0.842,0,0.685,0.29,0.233,0.447,0,0.665,0.654,0.535,0.814,0,TRUE,0.751416666666667,5.604,0.279,0.304
"65",251,251,1,10273,6,1,0.369566661072895,0.00336587335914373,8,128,4,4,1,0.971978054943029,4.71484902302424,0.106,0.142,0.378,0.378,-0.94895,4.83698333333333,0.348,0.142,0.378,0.378,-0.135033333333333,0.745,0.353,0.204,0.478,-0.268,0.899,0.517,0,0.694,0.789,0.663,0.965,0,0.75,0.392,0.328,0.545,0,0.694,0.789,0.643,0.946,0,TRUE,0.880033333333333,5.78593333333333,0.303,0.302
"66",261,261,1,10282,6,1,0.229070719331503,0.330794158857316,8,128,4,4,1,0.767715610037558,4.45028349955877,0.389,0.519,0.582,0.582,-0.57415,5.63193333333332,0.14,0.519,0.582,0.582,-0.08,0.835366666666667,0.154,0.893,0.589,-0.14,0.941,0.39,0,0.715,0.723,0.581,0.883,0,0.736,0.344,0.279,0.484,0,0.715,0.723,0.602,0.859,0,TRUE,0.915366666666667,6.20608333333332,0.257,0.302
"67",273,273,1,10293,6,1,0.391880387440324,-0.285641232039779,8,128,4,4,1,1.52127721065888,4.67969655195872,0.13,0.173,0.155,0.155,-1.21625,2.35255,0.716,0.173,0.155,0.155,-0.197683333333333,0.47605,0.697,0.239,0.599,-0.673,0.969,0.403,0,0.707,0.714,0.628,0.877,0,0.733,0.393,0.331,0.538,0,0.707,0.714,0.631,0.858,0,TRUE,0.673733333333333,3.5688,0.227,0.249
"68",280,280,1,1029,1,1,0.0849381256848574,-0.207803517580032,4,16,2,2,1,0.931517863180488,2.63761387666066,0.321,0.643,0.615,0.615,-0.252366666666667,3.43236666666666,0.297,0.643,0.615,0.615,-0.194366666666667,0.967366666666666,0.999,1,1,-1,1,0.827,0.205,0.487,0.409,0.034,0.958,0.047,0.316,0.04,-0.05,0.411,0.223,0.487,0.409,0.015,0.893,0.391,TRUE,1.16173333333333,3.68473333333333,0.878,0.924
"69",285,285,1,1032,1,1,0.0722227671649307,0.971526023000479,4,16,2,2,1,1.22827105224133,2.756471991539,0.27,0.539,-0.098,-0.098,-1.88746666666667,4.57688333333333,0.855,0.539,-0.098,-0.098,-0.7151,0.8661,0.999,1,-1,-1,1,0.839,0.114,0.805,0.393,0.047,0.804,0.492,0.864,0.087,-0.048,0.443,0.104,0.805,0.393,0.033,0.801,0.408,FALSE,1.5812,6.46435,0.768,0.757
"70",289,289,1,1036,1,1,0.93553011235781,-0.882292381953448,4,16,2,2,1,1.44917609589174,2.72177942991257,0.23,0.46,0.621,0.621,-1.16356666666667,5.2043,0.298,0.46,0.621,0.621,0.00563333333333333,0.981,0.351,1,1,-1,1,0.82,0.906,0.186,0.032,0.008,0.503,0.999,0.046,-0.047,-0.064,0.177,0.627,0.186,0.032,0.007,0.466,0.999,FALSE,0.975366666666667,6.36786666666667,0.459,0.495
"71",291,291,1,1038,1,1,0.0752351142000407,0.287642311304808,4,16,2,2,1,1.22665008110926,2.62532542149226,-0.395,-0.791,-0.891,-0.891,-12.4681666666667,1.44358333333333,0.08,-0.791,-0.891,-0.891,-0.971683333333333,0.428199999999999,0.999,-1,-1,-1,1,0.817,0.222,0.632,0.252,0.021,0.59,0.716,0.533,0.037,-0.05,0.54,0.221,0.632,0.252,0.016,0.597,0.583,FALSE,1.39988333333333,13.91175,0.581,0.569
"72",292,292,1,1039,1,1,0.927903409581631,0.0607811403460801,4,16,2,2,1,0.385158480145037,2.7060205300649,-0.107,-0.215,-0.549,-0.549,-2.8203,0.42778333333333,0.377,-0.215,-0.549,-0.549,-0.968,0.203366666666667,0.999,-1,-1,-1,1,0.809,0.137,0.304,0.547,0.049,1.153,0.272,0.123,0.07,-0.04,0.424,0.163,0.304,0.547,0.05,1.109,0.411,FALSE,1.17136666666667,3.24808333333333,1.059,1.104
"73",294,294,1,10401,6,1,0.914771853247657,0.750641494523734,16,64,2,2,1,1.73321224423125,2.6022678454717,0.139,0.277,0.207,0.207,-0.47705,6.36658333333333,0.769,0.277,0.207,0.207,-0.2211,0.887733333333333,0.635,1,1,-1,1,0.85,0.001,0.431,0.494,0.234,0.761,0.005,0.248,0.133,0.028,0.275,0.002,0.431,0.494,0.288,0.721,0.001,TRUE,1.10883333333333,6.84363333333333,0.433,0.527
"74",298,298,1,10405,6,1,0.00355963734909892,0.426319276448339,16,64,2,2,1,1.93070744629949,2.52972121636073,-0.02,-0.041,-0.304,-0.304,-3.43173333333333,0.146683333333333,0.602,-0.041,-0.304,-0.304,-0.839,0.07,0.999,-1,-1,-1,1,0.792,0,0.645,0.561,0.285,0.829,0,0.555,0.165,0.044,0.323,0,0.645,0.561,0.329,0.774,0,TRUE,0.909,3.57841666666666,0.445,0.544
"75",302,302,1,10409,6,1,0.897255437914282,0.731207601726055,16,64,2,2,1,1.64802132314071,2.76143329540888,-0.084,-0.167,-0.005,-0.005,-12.8966,15.9183666666666,0.993,-0.167,-0.005,-0.005,-0.701783333333333,0.737416666666666,0.664,-1,-1,-1,1,0.823,0,0.67,0.512,0.275,0.731,0.029,0.599,0.188,0.055,0.357,0.001,0.67,0.512,0.326,0.727,0,TRUE,1.4392,28.8149666666666,0.401,0.456
"76",303,303,1,1040,1,1,0.594848173903301,0.712593390140682,4,16,2,2,1,1.96575037902221,2.55976362228394,0.174,0.348,0.786,0.786,-0.782683333333333,9.3,0.142,0.348,0.786,0.786,-0.0989333333333333,0.982683333333333,0.352,1,1,-1,1,0.947,0.002,0.692,0.796,0.442,1.131,0,0.638,0.408,0.186,0.702,0.006,0.692,0.796,0.462,1.102,0,TRUE,1.08161666666667,10.0826833333333,0.64,0.689
"77",312,312,1,10418,6,1,0.973201718181372,-0.0734536037780344,16,64,2,2,1,1.94292125431821,2.55219647884369,0.015,0.03,0.423,0.423,-0.200033333333333,7.73205,0.507,0.03,0.423,0.423,0.00931666666666667,0.94805,0.671,1,1,-1,1,0.829,0,0.62,0.592,0.387,0.802,0,0.513,0.257,0.124,0.436,0,0.62,0.592,0.418,0.744,0,TRUE,0.938733333333333,7.93208333333333,0.326,0.415
"78",314,314,1,1041,1,1,0.135088898707181,-0.951343561057001,4,16,2,2,1,0.56544073484838,2.63706189393997,-0.134,-0.267,-0.314,-0.314,-36.0452666666667,4.08768333333333,0.61,-0.267,-0.314,-0.314,-0.940366666666667,0.414833333333333,0.695,-1,-1,-1,1,0.835,0,0.826,0.634,0.441,0.838,0.129,0.91,0.589,0.428,0.793,0,0.826,0.634,0.406,0.839,0.015,FALSE,1.3552,40.13295,0.433,0.397
"79",326,326,1,10430,6,1,0.0272107934579253,0.568278016056865,16,64,2,2,1,1.83186927717179,2.58736462593079,-0.057,-0.113,-0.221,-0.221,-10.2341666666667,5.40636666666666,0.727,-0.113,-0.221,-0.221,-0.843366666666667,0.445416666666666,0.663,-1,-1,-1,1,0.828,0,0.754,0.679,0.445,0.907,0,0.758,0.296,0.161,0.45,0,0.754,0.679,0.484,0.871,0,TRUE,1.28878333333333,15.6405333333334,0.387,0.462
"80",335,335,1,10439,6,1,0.888498347019777,-0.0545267998240888,16,64,2,2,1,1.36205978877842,3.01754069328308,0.22,0.439,0.806,0.806,0.229316666666667,11.4102166666667,0.119,0.439,0.806,0.806,0.153316666666667,0.986683333333333,0.369,1,1,1,1,0.831,0,0.819,0.745,0.531,0.958,0,0.894,0.363,0.228,0.518,0,0.819,0.745,0.569,0.921,0,TRUE,0.833366666666666,11.1809,0.352,0.427
"81",336,336,1,1043,1,1,0.236753249540925,0.839276772458106,4,16,2,2,1,1.36973512591794,2.722505235672,-0.041,-0.082,-0.109,-0.109,-4.42268333333333,0.723566666666666,0.833,-0.082,-0.109,-0.109,-0.891783333333333,0.44305,0.999,-1,-1,-1,1,0.835,0.406,0.333,0.177,0.013,0.512,0.633,0.148,-0.012,-0.046,0.321,0.371,0.333,0.177,0.01,0.537,0.851,FALSE,1.33483333333333,5.14625,0.527,0.499
"82",351,351,1,10453,6,1,0.426383435726166,0.0315214856527746,16,256,4,4,1,3.29909422947094,4.36499070326487,0.025,0.033,0.181,0.181,-0.923333333333333,3.93798333333333,0.667,0.033,0.181,0.181,-0.131683333333333,0.490366666666667,0.657,0.067,0.322,-0.317,0.814,0.674,0,0.707,0.538,0.456,0.678,0,0.802,0.258,0.196,0.37,0,0.707,0.538,0.463,0.639,0,TRUE,0.62205,4.86131666666666,0.176,0.222
"83",360,360,1,10461,6,1,0.569461141480133,0.7696642447263,16,256,4,4,1,3.47744222544134,4.62548642953237,-0.401,-0.534,-0.561,-0.561,-5.52245,-0.590066666666668,0.16,-0.534,-0.561,-0.561,-0.752,-0.16195,0.164,-0.564,-0.578,-0.854,-0.14,0.412,0,0.637,0.611,0.522,0.722,0,0.727,0.347,0.289,0.44,0,0.637,0.611,0.54,0.705,0,TRUE,0.59005,4.93238333333333,0.165,0.2
"84",363,363,1,10464,6,1,0.26421394967474,0.155806266702712,16,256,4,4,1,2.33188968198374,4.32914003133774,0.45,0.6,0.43,0.43,-1.14078333333333,12.1024166666667,0.301,0.6,0.43,0.43,-0.0364166666666667,0.7811,0.312,0.725,0.62,-0.225,0.954,0.376,0,0.731,0.802,0.707,0.922,0,0.888,0.416,0.361,0.512,0,0.731,0.802,0.728,0.905,0,TRUE,0.817516666666667,13.2432,0.177,0.215
"85",369,369,1,1046,1,1,0.165088414447382,0.00181751931086183,4,16,2,2,1,1.46478497888893,2.7497373342514,-0.428,-0.856,-0.923,-0.923,-3.76025,0.0514666666666662,0.045,-0.856,-0.923,-0.923,-0.97405,0.105733333333333,0.316,-1,-1,-1,1,0.815,0.884,0.436,0.038,0.008,0.519,0.998,0.253,-0.052,-0.059,0.221,0.671,0.436,0.038,0.007,0.53,0.999,FALSE,1.07978333333333,3.81171666666667,0.523,0.511
"86",370,370,1,10470,6,1,0.957172831054777,0.546811821870506,16,256,4,4,1,3.44055040786043,4.34550462166468,0.063,0.084,0.378,0.378,0.05185,3.41156666666667,0.37,0.084,0.378,0.378,0.056,0.640683333333333,0.367,0.141,0.487,0.017,0.843,0.514,0,0.651,0.792,0.7,0.906,0,0.761,0.417,0.353,0.507,0,0.651,0.792,0.712,0.886,0,TRUE,0.584683333333333,3.35971666666667,0.174,0.206
"87",374,374,1,10474,6,1,0.0242454907856882,-0.204153833910823,16,256,4,4,1,0.87836058736546,4.50402868588766,-0.346,-0.461,-0.502,-0.502,-5.06326666666667,-0.680916666666668,0.23,-0.461,-0.502,-0.502,-0.792366666666667,-0.244316666666667,0.222,-0.688,-0.737,-0.953,-0.342,0.303,0,0.645,0.567,0.507,0.678,0,0.68,0.31,0.256,0.408,0,0.645,0.567,0.515,0.654,0,TRUE,0.54805,4.38235,0.139,0.171
"88",380,380,1,1047,1,1,0.864854482235387,-0.136064103338867,4,16,2,2,1,1.53311225771904,2.54492715199788,-0.33,-0.66,-0.238,-0.238,-12.9441,7.51513333333332,0.67,-0.66,-0.238,-0.238,-0.9451,0.617683333333333,0.681,-1,-1,-1,1,0.821,0.005,0.684,0.879,0.432,1.343,0,0.623,0.4,0.141,0.733,0.002,0.684,0.879,0.507,1.246,0,TRUE,1.56278333333333,20.4592333333333,0.739,0.911
"89",385,385,1,10484,6,1,0.010408150497824,0.0351059283129871,16,256,4,4,1,2.15697642369196,4.39674994548162,0.244,0.325,0.035,0.035,-1.3061,1.78323333333333,0.931,0.325,0.035,0.035,-0.2831,0.353683333333333,0.931,0.437,0.039,-0.36,0.464,0.953,0,0.675,0.7,0.605,0.837,0,0.756,0.328,0.27,0.429,0,0.675,0.7,0.614,0.822,0,TRUE,0.636783333333333,3.08933333333333,0.208,0.232
"90",398,398,1,10496,6,1,0.575026361970231,-0.344164321664721,16,256,4,4,1,1.96019690664485,4.58762668768565,-0.177,-0.236,-0.171,-0.171,-5.0278,1.59745,0.68,-0.236,-0.171,-0.171,-0.536,0.156366666666667,0.68,-0.411,-0.241,-0.754,0.35,0.76,0,0.675,0.789,0.69,0.913,0,0.773,0.432,0.366,0.535,0,0.675,0.789,0.708,0.885,0,TRUE,0.692366666666667,6.62525,0.177,0.223
"91",405,405,1,1050,1,1,0.97753507620655,-0.387350711040199,4,16,2,2,1,0.846255630720407,3.82786660194397,-0.121,-0.243,-0.583,-0.583,-8.80918333333333,0.538783333333333,0.326,-0.243,-0.583,-0.583,-0.943683333333333,0.292416666666666,0.355,-1,-1,-1,1,0.825,0.004,0.587,0.765,0.406,1.108,0.006,0.459,0.391,0.136,0.732,0.004,0.587,0.765,0.368,1.159,0.002,TRUE,1.2361,9.34796666666666,0.791,0.702
"92",444,444,1,1063,1,1,0.586689904564992,-0.664421292021871,4,64,4,4,1,2.72789327427745,4.33593516349792,-0.299,-0.398,-0.208,-0.208,-4.2455,1.32636666666666,0.604,-0.398,-0.208,-0.208,-0.658683333333333,0.320833333333333,0.619,-0.561,-0.336,-0.9,0.509,0.649,0,0.644,0.767,0.65,0.993,0,0.826,0.446,0.346,0.677,0,0.644,0.767,0.655,0.986,0,TRUE,0.979516666666666,5.57186666666666,0.331,0.343
"93",460,460,1,1065,1,1,0.496917362324893,0.634346269071102,4,64,4,4,1,3.58793631894514,4.33080796400706,0.089,0.119,0.09,0.09,-1.026,2.00105,0.822,0.119,0.09,0.09,-0.3561,0.55905,0.82,0.137,0.171,-0.69,0.892,0.824,0,0.597,0.749,0.615,0.99,0,0.586,0.336,0.265,0.557,0,0.597,0.749,0.609,0.99,0,TRUE,0.91515,3.02705,0.381,0.375
"94",465,465,1,1066,1,1,0.382068382576108,-0.0531849008984864,4,64,4,4,1,1.80008115202654,4.69482649564743,0.561,0.748,0.568,0.568,0.214583333333333,3.68816666666666,0.164,0.748,0.568,0.568,0.110633333333333,0.911,0.166,0.959,0.937,0.298,0.991,0.057,0.001,0.491,0.655,0.504,0.915,0,0.403,0.251,0.171,0.535,0.003,0.491,0.655,0.51,0.884,0.001,TRUE,0.800366666666667,3.47358333333333,0.374,0.411
"95",533,533,1,10759,6,1,0.694568668492138,0,4,16,2,2,1,0,2.53572310209274,0,0,-0.289,-0.289,-5.57191666666667,5.16456666666667,0.64,0,-0.289,-0.289,-0.93205,0.436766666666665,0.659,1,-1,-1,1,0.827,0.565,0,0.155,0.011,0.561,0.757,0,-0.035,-0.069,0.261,0.492,0,0.155,0.01,0.598,0.875,FALSE,1.36881666666667,10.7364833333333,0.588,0.55
"96",542,542,1,10769,6,1,0.20386015647091,0,8,32,2,2,1,0,2.61671963135401,0,0,-0.302,-0.302,-15.85975,8.13109999999999,0.636,0,-0.302,-0.302,-0.9391,0.65915,0.999,1,-1,-1,1,0.835,0.065,0,0.355,0.046,0.706,0.539,0,0.072,-0.027,0.298,0.064,0,0.355,0.038,0.684,0.194,FALSE,1.59825,23.99085,0.646,0.66
"97",545,545,1,10775,6,1,0.318936992669478,0,2,8,2,2,1,0,2.6866496125857,0,0,0.116,0.116,-1.184,4.724,0.836,0,0.116,0.116,-0.566366666666667,0.90705,0.689,-1,1,-1,1,0.999,0.918,0,0.047,0.012,0.621,0.998,0,-0.119,-0.144,0.351,0.693,0,0.047,0.011,0.691,0.999,FALSE,1.47341666666667,5.908,0.68,0.609
"98",552,552,1,10783,6,1,0.0125032095238566,0,2,8,2,2,1,0,2.59388135671616,0,0,0.483,0.483,-1.984,1.474,0.413,0,0.483,0.483,-0.656416666666667,0.968683333333333,0.999,-1,1,-1,1,0.841,0.285,0,0.422,0.02,0.823,0.821,0,0.048,-0.011,0.904,0.254,0,0.422,0.026,1.048,0.749,FALSE,1.6251,3.458,1.022,0.803
"99",566,566,1,10803,7,1,0.264205223182216,-0.184673514217138,2,8,2,2,0.5,1.4603569782339,2.66875976324081,-0.329,-0.658,-0.704,-0.704,-6.961,-0.433,0.217,-0.658,-0.704,-0.704,-0.969683333333333,-0.14495,0.639,-1,-1,-1,-1,0.954,0.078,0.544,0.529,0.233,0.856,0,0.394,0.244,0.084,0.774,0.106,0.544,0.529,0.222,0.839,0.005,TRUE,0.824733333333333,6.528,0.617,0.623
"100",569,569,1,10806,7,1,0.585505181690678,-0.356703931000084,2,8,2,2,0.5,1.64871088694781,2.67894723415375,0.163,0.326,-0.62,-0.62,-14.272,-0.305,0.255,0.326,-0.62,-0.62,-0.968683333333333,0.244833333333333,0.359,1,-1,-1,-1,0.834,0.001,0.793,0.867,0.722,1.003,0,0.837,0.827,0.804,0.914,0.005,0.793,0.867,0.631,1.092,0,TRUE,1.21351666666667,13.967,0.461,0.281
"101",574,574,1,10810,7,1,0.121165501885116,-0.387030500452965,2,8,2,2,0.5,1.43746724864468,2.68865716854731,0.382,0.763,0.405,0.405,-0.614,4.829,0.546,0.763,0.405,0.405,-0.308466666666667,0.955683333333333,0.656,1,1,-1,1,0.828,0.026,0.768,0.724,0.455,0.992,0,0.786,0.538,0.335,0.932,0.044,0.768,0.724,0.439,1.007,0,TRUE,1.26415,5.443,0.568,0.537
"102",575,575,1,10811,7,1,0.826998292701319,0.539851506706327,2,8,2,2,0.5,1.5257480898872,2.47773511807124,-0.429,-0.858,-0.172,-0.172,-4.921,11.946,0.871,-0.858,-0.172,-0.172,-0.912683333333333,0.805466666666666,0.648,-1,-1,-1,1,0.831,0.009,0.811,0.808,0.595,1.021,0,0.878,0.7,0.542,0.96,0.005,0.811,0.808,0.557,1.067,0,TRUE,1.71815,16.867,0.51,0.426
"103",581,581,1,10817,7,1,0.800679268082604,0.990798831917346,2,8,2,2,0.5,1.4052887680009,2.42270470460256,0.178,0.355,0.495,0.495,-0.145,4.19,0.373,0.355,0.495,0.495,-0.134416666666667,0.970683333333333,0.999,1,1,-1,1,0.926,0.171,0.474,0.448,0.067,0.819,0,0.3,0.125,0.002,0.621,0.198,0.474,0.448,0.07,0.823,0.087,TRUE,1.1051,4.335,0.753,0.752
"104",586,586,1,10821,7,1,0.692744246916845,-0.0957088377326727,2,8,2,2,0.5,1.42547379201278,2.64935963551203,0.297,0.594,0.802,0.802,0.299,5.391,0.086,0.594,0.802,0.802,-0.0174666666666667,0.972683333333333,0.31,1,1,1,1,0.821,0.03,0.437,0.615,0.364,0.865,0.001,0.255,0.409,0.321,0.65,0.022,0.437,0.615,0.311,0.952,0.001,TRUE,0.99015,5.092,0.641,0.501
"105",593,593,1,10828,7,1,0.229266219073907,0.974059456028044,2,8,2,2,0.5,0.0558757092803717,2.66381007830302,0.135,0.271,0.598,0.598,0.221,4.175,0.333,0.271,0.598,0.598,-0.0855666666666667,0.977,0.691,1,1,1,1,0.999,0.4,0.031,0.236,0.008,0.551,0.404,0.001,-0.008,-0.062,0.255,0.415,0.031,0.236,0.013,0.681,0.78,TRUE,1.06256666666667,3.954,0.668,0.543
"106",597,597,1,10831,7,1,0.134749572025612,0.830634655430913,2,8,2,2,0.5,1.79126738058403,2.5249912460645,-0.354,-0.708,0.43,0.43,-49.886,5.379,0.462,-0.708,0.43,0.43,-0.907,0.945683333333333,0.334,-1,1,-1,1,0.999,0.039,0.761,0.713,0.398,1.032,0.063,0.772,0.539,0.326,0.967,0.05,0.761,0.713,0.191,1.18,0.07,FALSE,1.85268333333333,55.265,0.989,0.634
"107",598,598,1,10832,7,1,0.871403015451506,-0.745816830080003,2,8,2,2,0.5,1.80763666098937,2.53732868035634,-0.09,-0.18,-0.514,-0.514,-4.156,-0.041,0.352,-0.18,-0.514,-0.514,-0.973,0.0435166666666661,0.334,-1,-1,-1,-1,0.811,0.478,0.012,0.142,0.01,0.409,0.966,0,-0.023,-0.046,0.427,0.421,0.012,0.142,0.006,0.475,0.943,TRUE,1.01651666666667,4.115,0.469,0.399
"108",599,599,1,10833,7,1,0.723235472338274,-0.120045491028577,2,8,2,2,0.5,0.879454010631889,2.54775762160619,0.056,0.112,-0.86,-0.86,-11.065,-0.755,0.113,0.112,-0.86,-0.86,-0.961683333333333,0.188516666666666,0.348,1,-1,-1,-1,0.827,0.021,0.66,0.684,0.432,0.912,0.175,0.58,0.472,0.329,0.824,0.008,0.66,0.684,0.274,1.115,0.032,TRUE,1.1502,10.31,0.841,0.48
"109",600,600,1,10834,7,1,0.674736385932192,0.607275270856917,2,8,2,2,0.5,1.23074479913339,2.61352377335231,-0.261,-0.522,0.411,0.411,-0.236,15.04,0.43,-0.522,0.411,0.411,-0.852683333333333,0.958683333333333,0.329,-1,1,-1,1,0.807,0,0.835,1.153,1.015,1.298,0,0.931,0.904,0.887,0.955,0.004,0.835,1.153,0.811,1.512,0,TRUE,1.81136666666667,15.276,0.701,0.283
"110",612,612,1,10845,7,1,0.88893997692503,-0.746557875536382,2,8,2,2,0.5,1.20628688437864,2.55027479330699,-0.336,-0.672,-0.807,-0.807,-3.586,-0.146,0.12,-0.672,-0.807,-0.807,-0.969,-0.0353166666666667,0.351,-1,-1,-1,-1,0.958,0.035,0.716,0.543,0.314,0.772,0,0.684,0.405,0.294,0.736,0.067,0.716,0.543,0.283,0.793,0,TRUE,0.933683333333333,3.44,0.51,0.458
"111",624,624,1,10856,7,1,0.189707418903708,-0.563969427719712,2,32,4,4,0.5,1.65857632584404,4.44408547878265,-0.408,-0.544,-0.607,-0.607,-7.94803333333333,-1.17975,0.139,-0.544,-0.607,-0.607,-0.819,-0.0719000000000003,0.143,-0.567,-0.768,-0.916,-0.296,0.229,0,0.656,0.755,0.632,0.895,0,0.619,0.669,0.645,0.861,0,0.656,0.755,0.622,0.921,0,TRUE,0.7471,6.76828333333333,0.299,0.263
"112",631,631,1,10862,7,1,0.458767736097798,-0.42926671821624,2,32,4,4,0.5,1.54627109995577,4.29574033419291,0.198,0.264,0.314,0.314,-2.34881666666667,10.1765,0.424,0.264,0.314,0.314,-0.276466666666667,0.728683333333333,0.449,0.324,0.438,-0.311,0.898,0.529,0,0.714,0.784,0.747,0.872,0,0.929,0.811,0.798,0.915,0,0.714,0.784,0.71,0.915,0,TRUE,1.00515,12.5253166666667,0.205,0.125
"113",647,647,1,10877,7,1,0.89507939084433,0.574834989849478,2,32,4,4,0.5,3.54242029646412,4.55484201113383,-0.215,-0.286,-0.021,-0.021,-3.86336666666667,3.47418333333333,0.953,-0.286,-0.021,-0.021,-0.554,0.483833333333333,0.963,-0.288,-0.023,-0.608,0.591,0.971,0,0.716,0.867,0.786,0.986,0,0.806,0.722,0.685,0.874,0,0.716,0.867,0.762,1.027,0,TRUE,1.03783333333333,7.33755,0.265,0.2
"114",658,658,1,10887,7,1,0.429356903070584,-0.317348541691899,2,32,4,4,0.5,2.86306897411123,4.396761794885,-0.263,-0.351,-0.247,-0.247,-14.99675,5.33805,0.547,-0.351,-0.247,-0.247,-0.84005,0.4891,0.545,-0.688,-0.585,-0.953,0.572,0.435,0,0.795,0.776,0.673,0.922,0,0.905,0.756,0.755,0.906,0,0.795,0.776,0.676,0.943,0,TRUE,1.32915,20.3348,0.267,0.249
"115",659,659,1,10888,7,1,0.682746879290789,0.554840223863721,2,32,4,4,0.5,3.97222880553454,4.44496383666992,0.118,0.157,0.354,0.354,-0.511733333333333,2.94496666666666,0.388,0.157,0.354,0.354,-0.135783333333333,0.64405,0.388,0.414,0.629,-0.12,0.982,0.35,0,0.647,0.746,0.617,0.879,0,0.694,0.636,0.587,0.828,0,0.647,0.746,0.622,0.91,0,TRUE,0.779833333333333,3.45669999999999,0.288,0.262
"116",744,744,1,11008,7,1,0.229369133478031,-0.247589362319559,4,16,2,2,0.5,0.188783075660467,2.83163990179698,-0.157,-0.315,-0.337,-0.337,-3.99078333333333,0.123616666666666,0.569,-0.315,-0.337,-0.337,-0.935366666666667,0.0253666666666666,0.652,-1,-1,-1,1,0.827,0.001,0.564,0.574,0.32,0.797,0,0.424,0.341,0.119,0.621,0.02,0.564,0.574,0.363,0.797,0,TRUE,0.960733333333334,4.1144,0.434,0.477
"117",745,745,1,11009,7,1,0.0582770484033972,-0.888294333126396,4,16,2,2,0.5,1.41336628654972,2.7063179731369,-0.013,-0.027,-0.322,-0.322,-21.633,28.3831833333333,0.611,-0.027,-0.322,-0.322,-0.945733333333333,0.5201,0.689,-1,-1,-1,1,0.837,0,0.813,0.84,0.611,1.08,0,0.881,0.667,0.407,0.92,0,0.813,0.84,0.645,1.039,0,TRUE,1.46583333333333,50.0161833333333,0.394,0.469
