"STUDY_ID","REVIEWERS","INCLUDE","authors","title","journal","type","year","volume","issue","page_start","page_end","doi","category"
256,"Sub13","not vetted","Zhang, XY; Huang, ZQ; Ning, T; Xiang, XH; Li, CQ; Chen, SY; Xiao, H","Microscopic and Submicroscopic Gradient Variation o Olfactory Systems Among Six Sinocyclocheilus Species Living in Different Environments","ZOOLOGICAL SCIENCE","Article",2018,"35","5","411","420","10.2108/zs170126","Zoology"
313,"Sub13","not vetted","Abdelhady, AA; Abdelrahman, E; Elewa, AMT; Fan, JW; Zhang, SR; Xiao, JL","Phenotypic plasticity of the gastropod Melanoides tuberculata in the Nile Delta: A pollution-induced stabilizing selection","MARINE POLLUTION BULLETIN","Article",2018,"133","","701","710","10.1016/j.marpolbul.2018.06.026","Environmental Sciences; Marine & Freshwater Biology"
324,"Sub13","not vetted","Fan, JQ; Liu, H; Wang, WC","LARGE COVARIANCE ESTIMATION THROUGH ELLIPTICAL FACTOR MODELS","ANNALS OF STATISTICS","Article",2018,"46","4","1383","1414","10.1214/17-AOS1588","Statistics & Probability"
343,"Sub13","not vetted","Sow, MD; Le Gac, A; Lafon-Placette, C; Delaunay, A; Le Jan, I; Fichot, R; Maury, S; Mirouze, M; Lanciano, S; Tost, J; Segura, V; Chaparro, C; Grunau, C; Allona, I; Le Provost, G; Plomion, C; Salse, J; Ambroise, C; Gribkova, S; Strauss, SH","Clarifying the role of DNA methylation in tree phenotypic plasticity","FEBS OPEN BIO","Meeting Abstract",2018,"8","","138","138","","Biochemistry & Molecular Biology"
352,"Sub13","not vetted","Appleton, RD; Van Horn, RC; Noyce, KV; Spady, TJ; Swaisgood, RR; Arcese, P","Phenotypic plasticity in the timing of reproduction in Andean bears","JOURNAL OF ZOOLOGY","Article",2018,"305","3","196","202","10.1111/jzo.12553","Zoology"
370,"Sub13","not vetted","Jaradat, AA","Simulated climate change deferentially impacts phenotypic plasticity and stoichiometric homeostasis in major food crops","EMIRATES JOURNAL OF FOOD AND AGRICULTURE","Article",2018,"30","6","429","442","10.9755/ejfa.2018.v30.i6.1705","Agronomy; Food Science & Technology"
388,"Sub13","not vetted","Damgaard, C; Ehlers, BK; Ransijn, JCG; Schmidt, IK; Svenning, JC","Insights on plant interaction between dominating species from patterns of plant association: expected covariance of pin-point cover measurements of two species","ENVIRONMENTAL AND ECOLOGICAL STATISTICS","Article",2018,"25","2","221","235","10.1007/s10651-018-0400-z","Environmental Sciences; Mathematics, Interdisciplinary Applications; Statistics & Probability"
389,"Sub13","not vetted","Lopes, MJS; Dias, MB; Castro, THR; Silva, GB","Light and plant growth-promoting rhizobacteria effects on Brachiaria brizantha growth and phenotypic plasticity to shade","GRASS AND FORAGE SCIENCE","Article",2018,"73","2","493","499","10.1111/gfs.12336","Agronomy"
394,"Sub13","not vetted","Yao, S; Zhang, XY; Shao, XF","Testing mutual independence in high dimension via distance covariance","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","Article",2018,"80","3","455","480","10.1111/rssb.12259","Statistics & Probability"
410,"Sub13","not vetted","Johannessen, C; Gurholt, TP; Nerland, S; Moberget, T; Lonning, V; Smelror, RE; Wedervang-Resell, K; Myhre, AM; Lundberg, M; Frangou, S; Kempton, MJ; Kyriakopoulos, M; Rund, BR; Andreassen, OA; Tamnes, CK; Agartz, I","Regional Cerebellar Volumes and Cerebello-Cerebral Structural Covariance in Adolescents With Early-Onset Psychosis: A Multisample Study","BIOLOGICAL PSYCHIATRY","Meeting Abstract",2018,"83","9","S111","S111","10.1016/j.biopsych.2018.02.293","Neurosciences; Psychiatry"
